,address_id,address,address2,district,city_id,postal_code,phone,location,last_update
0,1,47 MySakila Drive,,Alberta,300,,,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00>\n2]c4\\\xc0v\x1f\xdb\x8d\x99\xd9H@',2014-09-25 22:30:27
1,2,28 MySQL Boulevard,,QLD,576,,,"b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x8e\x10\xd4\xdf\x81$c@N\xe0\x8cP""\xa2;\xc0'",2014-09-25 22:30:09
2,3,23 Workhaven Lane,,Alberta,300,,14033335568,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xcd\xc4\x19hc4\\\xc0\x1d\xee~p\x99\xd9H@',2014-09-25 22:30:27
3,4,1411 Lillydale Drive,,QLD,576,,6172235589,"b'\x00\x00\x00\x00\x01\x01\x00\x00\x00[\r\xe44\x1f&c@B\xd6\xaed""\xa2;\xc0'",2014-09-25 22:30:09
4,5,1913 Hanoi Way,,Nagasaki,463,35200,28303384290,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00(\xd17\x0e!7`@\xab\xb5\x8b\xc4_\x94@@',2014-09-25 22:31:53
5,6,1121 Loja Avenue,,California,449,17886,838635286649,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00<\x94W\x9d\x8bR]\xc0\xe8`G-\xde\rA@',2014-09-25 22:34:01
6,7,692 Joliet Street,,Attika,38,83579,448477190408,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x07oY\xcfZ\xb77@A\x05\xd1\xa4^\xfdB@',2014-09-25 22:31:07
7,8,1566 Inegl Manor,,Mandalay,349,53561,705814003527,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x06$\x06&\xdc\xd8W@<E\xb3W\xc4u5@',2014-09-25 22:32:18
8,9,53 Idfu Parkway,,Nantou,361,42399,10655648674,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x1f\x81?\xfc|*^@5z5@i\xea7@',2014-09-25 22:33:16
9,10,1795 Santiago de Compostela Way,,Texas,295,18743,860452626434,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00PP/\x9d{\xe0X\xc0\xd0\xcfy2\xa4\x81;@',2014-09-25 22:33:55
10,11,900 Santiago de Compostela Parkway,,Central Serbia,280,93896,716571220373,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',2014-09-25 22:34:11
11,12,478 Joliet Way,,Hamilton,200,77948,657282285970,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xdc\x84\xd6\x1e\x11\xe9e@r\xb753D\xe4B\xc0',2014-09-25 22:32:22
12,13,613 Korolev Drive,,Masqat,329,45844,380657522649,"b""\x00\x00\x00\x00\x01\x01\x00\x00\x00\x01\x021d\xd0KM@\xce\xac\x00:'\x9d7@""",2014-09-25 22:32:29
13,14,1531 Sal Drive,,Esfahan,162,53628,648856936185,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xde\tQ\x19Z\xd6I@cZ@\r\x84S@@',2014-09-25 22:31:36
14,15,1542 Tarlac Parkway,,Kanagawa,440,1027,635297277345,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xb4\xcd\xe8\xa2|ka@k}6\x17$\xc7A@',2014-09-25 22:31:53
15,16,808 Bhopal Manor,,Haryana,582,10672,465887807014,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',2014-09-25 22:31:30
16,17,270 Amroha Parkway,,Osmaniye,384,29610,695479687538,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x1fClU\xb7\x1fB@\xa1\x14\x08\x96~\x89B@',2014-09-25 22:33:27
17,18,770 Bydgoszcz Avenue,,California,120,16266,517338314235,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00mc\xa2\xf7\xfcQ^\xc0L\x04\x059\x83ZC@',2014-09-25 22:33:47
18,19,419 Iligan Lane,,Madhya Pradesh,76,72878,990911107354,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xb7\xb0\x13\x03\xc9YS@\xe6\xf1\x0f\xb63A7@',2014-09-25 22:31:13
